ï»¿,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disclaimers,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This is an analytics report and currently we support downloading top 8000 listings by sold quantity.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ This report ONLY includes listings sold within the selected time range. Any fees charged or credits applied to listings sold outside this time range are not included in this report. These fees and credits are included in the selling costs number shown on the Seller Hub Performance sales report dashboard.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ Any fees charged or credits applied to these listings outside this time range are not included in this report.,,,,,,,,,,,,,,,,,,,,,,,,,,,
â¢ You had $323.83 of account level fees during this time period. Here is the breakdown of these fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscription fees = $323.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
"â¢ For the orders that have more than one unique item (multi-item orders), the order level fees/costs are distributed in individual items as follows. Total shipping label cost and per order fixed final value fees are equally distributed to each item.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report for Jan 1, 2024 to Sep 29, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,
Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
"310 Nutri's All-In-1 Shake: New Vegan Formula - Low Carb, Keto/Paleo Friendly - ",196191803576,Other,-,2,$261.88,$261.88,$0.00,$0.00,$0.00,$56.50,$0.00,$0.00,$32.94,$23.56,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$205.38,$130.94,2,0,0
"OLLY Beauty Gummy: Hair, Skin, Nails, Biotin, Vitamin C, Keratin - 30 Day Supply",196191839860,Other,-,2,$43.49,$43.00,$0.00,$0.49,$0.00,$9.89,$0.00,$0.00,$5.97,$3.92,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$33.11,$21.75,2,0,0
"Baseball Bat Used for Baseball and self Defense,Alloy Steel,25 Inch (Silver)",196192179234,Other,-,2,$74.76,$74.76,$0.00,$0.00,$0.00,$16.36,$0.00,$0.00,$9.63,$6.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$58.40,$37.38,2,0,0
"Easton | SPEED Baseball Bat | USA | -10 | 2 5/8"" Barrel | 28""",196192179806,Other,-,2,$193.53,$178.58,$0.00,$14.95,$0.00,$42.02,$0.00,$0.00,$36.18,$25.55,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$19.71,$0.00,$136.56,$96.77,2,0,0
"Blue Diamond Almonds Lightly Salted, Low Sodium, 100 Calorie Packs, 32 Count",196192364649,Other,-,2,$74.94,$74.94,$0.00,$0.00,$0.00,$16.40,$0.00,$0.00,$9.66,$6.74,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$58.54,$37.47,2,0,0
"TAZO Turmeric Bliss Herbal Tea Bags, 20 Count (Pack of 6)",196192365722,Other,-,2,$115.82,$115.82,$0.00,$0.00,$0.00,$14.70,$0.00,$0.00,$14.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$101.12,$57.91,0,0,0
"Rice Krispies Mini Squares, Kids Snacks, Variety Pack (52 Bars)",196192368658,Other,-,2,$39.25,$38.85,$0.00,$0.40,$0.00,$13.19,$0.00,$0.00,$5.55,$3.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.11,$25.66,$19.63,2,0,0
Tazo Green Ginger Tea -- 20 Tea Bags,196192379394,Other,-,2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.50,$3.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.56,$0.00,$0.00,$0.00,2,0,0
Klaire Labs Ther-Biotic Complete Probiotic Powder - 100 Billion CFU - Digestive,196252617172,Other,-,2,$203.50,$200.00,$0.00,$3.50,$0.00,$43.84,$0.00,$0.00,$25.53,$18.31,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$156.16,$101.75,2,0,2
"Ray-Ban Meta - Wayfarer (Large) Smart Glasses - Shiny Black, Clear",196271651700,Other,-,2,$0.00,$0.00,$0.00,$0.00,$0.00,$68.98,$0.00,$0.00,$97.02,$23.40,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$59.86,$8.42,-$68.98,$0.00,2,0,0
"ASICS Men's JOLT 4 Running Shoes, 12.5, Black/Black",196279635058,Other,-,2,$185.48,$156.44,$0.00,$14.09,$14.95,$21.61,$0.00,$0.00,$21.61,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$149.78,$92.74,0,0,0
"Quest Nutrition Peanut Butter Cups, 12 Count (1 Pack)",196280846997,Other,-,2,$80.44,$75.88,$0.00,$4.56,$0.00,$17.57,$0.00,$0.00,$10.33,$7.24,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$58.31,$40.22,2,0,0
Pure Encapsulations O.N.E. Multivitamin - 1-Month Supply,196282803390,Other,-,2,$70.66,$70.66,$0.00,$0.00,$0.00,$15.49,$0.00,$0.00,$9.13,$6.36,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$55.17,$35.33,2,0,0
Pure Encapsulations Nutrient 950 Without Copper & Iron | Hypoallergenic Multi-Vi,196282978082,Other,-,2,$107.54,$107.54,$0.00,$0.00,$0.00,$23.26,$0.00,$0.00,$13.58,$9.68,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$84.28,$53.77,2,0,0
"Viviscal Hair Growth Supplements for Women, Thicker, Fuller Hair, 60 Count, 1 Mo",196283031449,Other,-,2,$114.90,$114.90,$0.00,$0.00,$0.00,$26.83,$0.00,$0.00,$14.59,$10.34,$0.00,$0.00,$0.00,$1.90,$0.00,$0.00,$0.00,$0.00,$88.07,$57.45,2,0,0
"Micro Ingredients B3 Niacinamide 1,000mg 400 Capsules - Skin Health & Energy Su",196284960296,Other,-,2,$63.64,$63.64,$0.00,$0.00,$0.00,$15.63,$0.00,$0.00,$8.66,$2.86,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.11,$48.01,$31.82,1,0,0
"OLLY Immunity Sleep Gummy, 3mg Melatonin, Echinacea, Zinc, Vitamin C - 60 Count",196284974096,Other,-,2,$28.16,$27.14,$0.00,$1.02,$0.00,$6.41,$0.00,$0.00,$3.88,$2.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.73,$14.08,2,0,0
"KOS USDA Organic Spirulina Powder - Pure Green Blue Superfood, Rich in Protein V",196284982062,Other,-,2,$70.04,$70.04,$0.00,$0.00,$0.00,$9.05,$0.00,$0.00,$9.05,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$60.99,$35.02,0,0,0
Organic Iodine Supplement from Sea Vegetable Complex (250 mcg),196285877021,Other,-,2,$57.04,$56.34,$0.00,$0.70,$0.00,$12.57,$0.00,$0.00,$7.44,$5.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$43.77,$28.52,2,0,0
Garden of Life - RAW Probiotics Women - 90 Vegetarian Capsules,196285885144,Other,-,2,$232.78,$232.78,$0.00,$0.00,$0.00,$50.10,$0.00,$0.00,$29.15,$20.95,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$182.68,$116.39,2,0,0
"""Nature's Way Alive! Adult Multivitamin, Ultra Potency Vitamin B 60 Tablets""",196285890327,Other,-,2,$50.00,$50.00,$0.00,$0.00,$0.00,$6.58,$0.00,$0.00,$6.58,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$43.42,$25.00,0,2,0
"Pure Encapsulations Iron-C Capsules - 15mg Iron, 175mg Vit C, Red Blood Cell & E",196286083675,Other,-,2,$48.72,$48.72,$0.00,$0.00,$0.00,$10.80,$0.00,$0.00,$6.42,$4.38,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$37.92,$24.36,2,0,0
Pure Encapsulations B6 Complex - Nerve   Brain Support - B Vitamins - Enriched V,196286965187,Other,-,2,$138.52,$138.52,$0.00,$0.00,$0.00,$29.98,$0.00,$0.00,$17.51,$12.47,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$108.54,$69.26,2,0,0
"Sports Research Creatine Monohydrate - Lean Muscle, Performance and Recovery - 5",196286968661,Other,-,2,$90.54,$89.22,$0.00,$1.32,$0.00,$20.04,$0.00,$0.00,$11.89,$8.15,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$69.18,$45.27,2,0,0
"Puritan's Pride Probiotic Supplement, Acidophilus, Capsule, 250 Count(Pack of 1)",196286972262,Other,-,2,$25.47,$25.05,$0.00,$0.42,$0.00,$5.13,$0.00,$0.00,$3.84,$1.29,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$19.92,$12.74,1,0,0
"Portable Air Conditioner with USB, 3 Speeds, Touch Screen - Home, Tent, Car, RV,",196287415508,Other,-,2,$128.57,$120.44,$0.00,$8.13,$0.00,$39.13,$0.00,$0.00,$16.68,$5.80,$0.00,$0.00,$0.00,$1.06,$0.00,$0.00,$0.00,$15.59,$81.31,$64.29,1,0,0
"Mens Multivitamin - Garden of Life 50   Wiser, 240 Capsules",196327646428,Other,-,2,$54.19,$53.19,$0.00,$1.00,$0.00,$11.93,$0.00,$0.00,$28.26,$13.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$29.67,$0.00,$41.26,$27.10,2,0,0
"Renew Life, Ultimate Flora Care Probiotic 100 Billion, 30 Count",196327690816,Other,-,2,$139.84,$139.84,$0.00,$0.00,$0.00,$18.08,$0.00,$0.00,$18.08,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$121.76,$69.92,0,0,0
THREE WISE MEN AND A BABY New Sealed DVD Hallmark Channel,196103010962,Other,-,1,$24.24,$22.87,$0.00,$1.37,$0.00,$5.01,$0.00,$0.00,$3.92,$1.09,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$17.86,$24.24,1,0,0
"Natural Mouse Repellent, 12 Pack Peppermint Oil to Repel Mice and Rats, Roden...",196115530284,Other,-,1,$30.88,$28.36,$0.00,$2.52,$0.00,$7.04,$0.00,$0.00,$4.11,$2.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$21.32,$30.88,1,0,0
Nitric Oxide Max 3600Mg | 120 Caplets | with Arginine AAKG for Men and Women | V,196116501278,Other,-,1,$49.44,$49.44,$0.00,$0.00,$0.00,$6.41,$0.00,$0.00,$10.52,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.11,$0.00,$43.03,$49.44,0,0,0
"Neosporin Lip Health Overnight Renewal Therapy, 0.27 Oz, Pack of 2",196116502582,Other,-,1,$19.92,$18.40,$0.00,$1.52,$0.00,$3.76,$0.00,$0.00,$2.86,$0.90,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$14.64,$19.92,1,0,0
"Milk Chocolate Hot Cocoa Mix Packets - 50 Ct, 69 Oz (1 Pack)",196116518499,Other,-,1,$14.96,$14.00,$0.00,$0.96,$0.00,$2.60,$0.00,$0.00,$2.15,$0.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$11.40,$14.96,1,1,0
"Merchant Ambassador Electronic Arcade Alley-Ball (Neon Series), (GA1903B)",196119561390,Other,-,1,$50.49,$47.02,$0.00,$3.47,$0.00,$10.58,$0.00,$0.00,$6.54,$4.04,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$36.44,$50.49,1,0,0
Kicking Horse Coffee Hola Light Roast Ground 10 oz Pack of 1,196119900271,Other,-,1,$16.50,$16.50,$0.00,$0.00,$0.00,$3.83,$0.00,$0.00,$2.34,$1.49,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$12.67,$16.50,1,0,0
"GU Energy Roctane Ultra Endurance Energy Drink Mix, 1.72-Pound Canister, Grape",196119905360,Other,-,1,$50.41,$46.35,$0.00,$4.06,$0.00,$6.63,$0.00,$0.00,$6.63,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$39.72,$50.41,0,0,0
"Kraft Green Goddess Dressing, 16 Fl Oz (Pack of 2)",196119922250,Other,-,1,$27.62,$27.62,$0.00,$0.00,$0.00,$6.30,$0.00,$0.00,$3.81,$2.49,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$21.32,$27.62,1,0,0
"Nature Valley Granola Cinnamon Crunchy Granola, 16 OZ Resealable Bag",196119925895,Other,-,1,$12.13,$12.13,$0.00,$0.00,$0.00,$2.16,$0.00,$0.00,$1.80,$0.36,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.97,$12.13,1,0,0
"Fabric Shaver and Lint Remover, Battery Operated Portable Fabric Shaver, White",196123973737,Other,-,1,$25.82,$23.71,$0.00,$2.11,$0.00,$3.49,$0.00,$0.00,$3.49,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.22,$25.82,0,0,0
Cuisinart Deluxe Countertop Electric Can Opener - Black,196123981427,Other,-,1,$28.98,$27.08,$0.00,$1.90,$0.00,$3.88,$0.00,$0.00,$3.88,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$23.20,$28.98,0,0,0
"Electric Can Opener, Knife Sharpener and Bottle Opener, Easy Push down Lever, Bl",196123981459,Other,-,1,$43.05,$39.23,$0.00,$3.82,$0.00,$8.25,$0.00,$0.00,$5.62,$2.63,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$30.98,$43.05,1,0,0
MB20070421 30-inch Digital Electric Smoker Black Window and Legs NEW,196123994050,Other,-,1,$441.00,$407.39,$0.00,$33.61,$0.00,$85.75,$0.00,$0.00,$54.76,$30.87,$0.00,$0.00,$0.12,$0.00,$0.00,$0.00,$0.00,$0.00,$321.64,$441.00,1,0,0
"BLACK+DECKER 3-in-1 Leaf Blower,Vacuum & Mulcher, Up to 230 MPH, 12 Amp,2 Speeds",196124094169,Other,-,1,$121.85,$114.95,$0.00,$6.90,$0.00,$15.35,$0.00,$0.00,$15.35,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$99.60,$121.85,0,0,0
"Palmolive Original Liquid Dish Detergent Degreaser Tough on Grease, 90 fl oz",196124107046,Other,-,1,$21.58,$20.17,$0.00,$1.41,$0.00,$2.97,$0.00,$0.00,$2.97,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$17.20,$21.58,0,0,0
"QuietFlow 10 E Internal Aquarium Fish Tank Power Filter, Small, For Up To 10 ...",196124123044,Other,-,1,$22.19,$20.93,$0.00,$1.26,$0.00,$4.59,$0.00,$0.00,$3.04,$1.55,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$16.34,$22.19,1,0,0
"NEW Clorox Disinfecting Wipes 3-Pack, 75 Count Each, Cleaning Wipes",196125824125,Other,-,1,$22.08,$20.83,$0.00,$1.25,$0.00,$4.58,$0.00,$0.00,$3.03,$1.55,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$16.25,$22.08,1,0,0
Inverness Ear Care Solution,196126098696,Other,-,1,$14.68,$13.85,$0.00,$0.83,$0.00,$2.55,$0.00,$0.00,$2.11,$0.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$11.30,$14.68,1,0,0
"Kerasal Daily Defense Foot Wash Daily Cleanser with Tea Tree Oil, 12 Ounce",196126099552,Other,-,1,$19.43,$18.03,$0.00,$1.40,$0.00,$2.70,$0.00,$0.00,$2.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.33,$19.43,0,0,0
Benadryl Allergy Ultra TAB 100,196126099990,Other,-,1,$21.81,$20.00,$0.00,$1.81,$0.00,$4.52,$0.00,$0.00,$2.99,$1.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.48,$21.81,1,1,0
PureSleep â The Original Anti-Snoring Mouthpiece and #1 Solution Worldwide,196126100229,Other,-,1,$96.58,$89.63,$0.00,$6.95,$0.00,$19.96,$0.00,$0.00,$12.23,$7.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$69.67,$96.58,1,0,0
"Tide PODS Laundry Detergent Soap Pods, Spring Meadow Scent, 112 count",196126105445,Other,-,1,$46.30,$42.77,$0.00,$3.53,$0.00,$8.84,$0.00,$0.00,$6.02,$2.82,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$33.93,$46.30,1,0,0
Polident Smokers Denture Cleanser Tablets - 120 Count,196126110822,Other,-,1,$13.72,$12.94,$0.00,$0.78,$0.00,$2.40,$0.00,$0.00,$1.99,$0.41,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.54,$13.72,1,0,0
DenTek Instant Oral Pain Relief Maximum Strength Kit for Toothaches | 50 Count,196126111178,Other,-,1,$14.49,$13.45,$0.00,$1.04,$0.00,$3.39,$0.00,$0.00,$2.09,$1.30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.06,$14.49,1,0,0
"Oral-B 3D White Pulsar Battery Toothbrush, Soft, 2 Count (Colors Vary)",196126114142,Other,-,1,$22.13,$20.26,$0.00,$1.87,$0.00,$5.16,$0.00,$0.00,$3.17,$1.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.10,$22.13,1,0,0
16.9oz Green Soap Wash + 8oz Squeeze Bottle: Dragon Art Tattoo & Piercing Prep,196126114298,Other,-,1,$27.59,$25.37,$0.00,$2.22,$0.00,$6.19,$0.00,$0.00,$3.71,$2.48,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$19.18,$27.59,1,0,0
Costar Royal Jelly 1450mg 365 Capsules Australian Made,196126135259,Other,-,1,$46.50,$46.50,$0.00,$0.00,$0.00,$8.09,$0.00,$0.00,$6.04,$2.05,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$38.41,$46.50,1,1,0
"WILSON NBA Forge Series Indoor/Outdoor Basketball - Forge, Brown, Size 7-29.5""",196129258875,Other,-,1,$46.42,$44.00,$0.00,$2.42,$0.00,$8.07,$0.00,$0.00,$6.03,$2.04,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$35.93,$46.42,1,1,0
Gevalia Signature Blend Mild Light Roast K-Cup Coffee Pods (84 ct Box),196133043300,Other,-,1,$56.41,$51.88,$0.00,$4.53,$0.00,$19.61,$0.00,$0.00,$7.37,$5.08,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$7.16,$32.27,$56.41,1,0,0
"Mother Earth Products Freeze Dried Strawberries, 2 Oz",196133078107,Other,-,1,$27.50,$27.50,$0.00,$0.00,$0.00,$6.31,$0.00,$0.00,$3.70,$2.61,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$21.19,$27.50,1,0,0
Mt. Olive Kosher Dills Jumbo Pickles - 1 Gallon Jar (128 fl oz),196133079333,Other,-,1,$37.61,$34.82,$0.00,$2.79,$0.00,$7.39,$0.00,$0.00,$5.04,$2.29,$0.00,$0.00,$0.06,$0.00,$0.00,$0.00,$0.00,$0.00,$27.43,$37.61,1,0,0
Grace Hot Pepper Sauce 6 FL Oz 3pk,196133080793,Other,-,1,$21.18,$21.18,$0.00,$0.00,$0.00,$11.65,$0.00,$0.00,$3.02,$1.91,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.72,$9.53,$21.18,1,0,0
"PLANTERS Salted Mixed Nuts, Party Snacks, Plant-Based Protein 56oz (1 Canister)",196133088279,Other,-,1,$21.66,$21.66,$0.00,$0.00,$0.00,$4.50,$0.00,$0.00,$2.98,$1.52,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$17.16,$21.66,1,0,0
"JOLLY RANCHER Gummies Assorted Fruit Flavored Candy Bag, 13 oz",196133092359,Other,-,1,$9.80,$9.80,$0.00,$0.00,$0.00,$1.51,$0.00,$0.00,$1.51,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.29,$9.80,0,0,0
"Gustaf's Dutch Licorice Caramels, 1 Pound",196133093226,Other,-,1,$25.41,$25.41,$0.00,$0.00,$0.00,$5.22,$0.00,$0.00,$3.44,$1.78,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$20.19,$25.41,1,0,0
Goat's Milk Night Cream - Face Cream,196133095010,Other,-,1,$22.78,$21.14,$0.00,$1.64,$0.00,$4.14,$0.00,$0.00,$3.11,$1.03,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$17.00,$22.78,1,0,0
"RCA RFR725 2 Door Apartment Size Refrigerator with Freezer, Stainless,7.5 cu ft",196137677730,Other,-,1,$471.61,$442.31,$0.00,$29.30,$0.00,$91.65,$0.00,$0.00,$114.80,$64.61,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$87.76,$0.00,$350.66,$471.61,1,0,0
"Cuisinart CCO-50BKN Deluxe Electric Can Opener, Black",196137682141,Other,-,1,$39.09,$36.19,$0.00,$2.90,$0.00,$5.13,$0.00,$0.00,$5.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$31.06,$39.09,0,0,0
"Conair Barber Hair Clippers, Barbershop No-Slip Grip 20-Piece Hair Cutting Kit",196137688882,Other,-,1,$40.21,$36.93,$0.00,$3.28,$0.00,$7.72,$0.00,$0.00,$5.27,$2.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$29.21,$40.21,1,0,0
"Dr Infrared Heater Portable Space Heater, 1500-Watt, Cherry",196137694552,Other,-,1,$178.34,$165.13,$0.00,$13.21,$0.00,$33.56,$0.00,$0.00,$22.32,$11.24,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$131.57,$178.34,1,0,0
Intel Core i9-13900KS Processor,196137782724,Other,-,1,$992.99,$992.99,$0.00,$0.00,$0.00,$153.37,$0.00,$0.00,$69.91,$79.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.02,$839.62,$992.99,1,0,0
"KitchenAid KSMMGA Metal Food Grinder Attachment, Silver",196137909490,Other,-,1,$158.82,$148.43,$0.00,$10.39,$0.00,$20.01,$0.00,$0.00,$20.01,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$128.42,$158.82,0,0,0
MegaChef 1200 Watt Powerful Automatic Meat Grinder for Household Use,196137909613,Other,-,1,$81.57,$76.23,$0.00,$5.34,$0.00,$17.71,$0.00,$0.00,$10.37,$7.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$58.52,$81.57,1,0,0
1.6 Cu. Ft. Over-the-Range Microwave - Stainless,196137912132,Other,-,1,$345.01,$319.45,$0.00,$25.56,$0.00,$48.70,$0.00,$0.00,$43.01,$0.00,$0.00,$0.00,$0.00,$5.69,$0.00,$0.00,$0.00,$0.00,$270.75,$345.01,0,0,0
"Farberware Egg Whistling Tea Kettle, 2.3 Qt, Stainless Steel - Silver",196137917456,Other,-,1,$29.23,$27.00,$0.00,$2.23,$0.00,$5.69,$0.00,$0.00,$3.91,$1.78,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$21.31,$29.23,1,1,0
"""Crock-Pot 7qt Portable Slow Cooker, Timer, Locking Lid, Stainless Steel""",196137944829,Other,-,1,$127.32,$118.71,$0.00,$8.61,$0.00,$12.46,$0.00,$0.00,$16.02,$8.02,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$11.58,$0.00,$106.25,$127.32,1,0,0
Conair The Cordless Collection ~ 5/8-inch Curling Iron with Travel Case,196137946821,Other,-,1,$30.81,$29.00,$0.00,$1.81,$0.00,$4.11,$0.00,$0.00,$4.11,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$24.89,$30.81,0,1,0
"Philips Norelco NT5600/42 Nose Trimmer: Nose, Ears, Eyebrows, Black/Silver",196137947574,Other,-,1,$33.73,$31.82,$0.00,$1.91,$0.00,$4.47,$0.00,$0.00,$4.47,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$27.35,$33.73,0,0,0
"Fabuloso 2X Concentrated Cleaner, Lemon Scent, 56 oz.",196167757430,Other,-,1,$12.41,$11.26,$0.00,$1.15,$0.00,$1.93,$0.00,$0.00,$1.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.33,$12.41,0,0,0
Tide Ultra Powder Original Scent: 180 Loads,196167771900,Other,-,1,$95.05,$89.67,$0.00,$5.38,$0.00,$18.79,$0.00,$0.00,$12.04,$6.75,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$70.88,$95.05,1,0,0
"Yogi Tea, Green Tea Super Antioxidant, 16 Count",196167772470,Other,-,1,$13.13,$13.13,$0.00,$0.00,$0.00,$2.85,$0.00,$0.00,$1.92,$0.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.28,$13.13,1,0,0
"BrawnyÂ® Tear-A-SquareÂ® Paper Towels, 6 Double Rolls = 12 Regular Rolls",196167774485,Other,-,1,$20.32,$20.32,$0.00,$0.00,$0.00,$4.25,$0.00,$0.00,$2.81,$1.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$16.07,$20.32,1,0,0
YERBA MATE CRUZ de MALTA 2.2lb 1 kilo,196167776046,Other,-,1,$22.00,$22.00,$0.00,$0.00,$0.00,$5.10,$0.00,$0.00,$3.12,$1.98,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$16.90,$22.00,1,0,0
"Whitmor Dryer Balls - Eco Friendly Fabric Softener Alternative (Set of 4),Blue",196167777004,Other,-,1,$24.10,$22.60,$0.00,$1.50,$0.00,$5.55,$0.00,$0.00,$3.38,$2.17,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$17.05,$24.10,1,0,0
"Taylors of Harrogate Yorkshire Red, 80 Teabags",196167778384,Other,-,1,$13.29,$13.29,$0.00,$0.00,$0.00,$2.88,$0.00,$0.00,$1.94,$0.94,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.41,$13.29,1,0,0
